Celltype,Condition,Clusters,PatientID,nFeature,nCount,Rowinds
APOE+ FIB,LS,1,Patient1,725,1807.2489862254863,415
APOE+ FIB,LS,2,Patient1,790,1833.6155117585104,416
APOE+ FIB,LS,3,Patient1,609,1621.2110450110645,417
APOE+ FIB,LS,1,Patient1,698,1788.8155259283576,418
APOE+ FIB,LS,1,Patient1,631,1637.2439745092615,419
APOE+ FIB,LS,1,Patient1,676,1678.247472747821,420
APOE+ FIB,LS,1,Patient1,741,1815.5087382941833,421
APOE+ FIB,LS,1,Patient1,628,1611.16963879977,422
APOE+ FIB,LS,1,Patient1,835,1972.6658373527023,424
APOE+ FIB,LS,1,Patient1,701,1723.5294428276993,427
APOE+ FIB,LS,1,Patient1,590,1606.408702997778,429
APOE+ FIB,LS,1,Patient1,693,1766.2938856203914,430
APOE+ FIB,LS,1,Patient1,758,1853.3965904807774,432
APOE+ FIB,LS,1,Patient1,699,1729.8231149103292,434
APOE+ FIB,LS,1,Patient1,643,1683.26009769831,435
APOE+ FIB,LS,1,Patient1,487,1435.1107665234404,440
APOE+ FIB,LS,1,Patient1,648,1664.0872792827604,441
APOE+ FIB,LS,1,Patient1,560,1579.1568269083014,442
APOE+ FIB,LS,1,Patient1,550,1506.0849436716896,443
APOE+ FIB,LS,1,Patient1,685,1760.2407046825083,444
APOE+ FIB,LS,1,Patient1,547,1506.7141048431727,445
APOE+ FIB,LS,1,Patient1,828,1946.5882957358256,446
APOE+ FIB,LS,1,Patient1,618,1615.4722663576042,447
APOE+ FIB,LS,1,Patient1,654,1693.8360369073075,449
APOE+ FIB,LS,2,Patient1,677,1627.2385153621133,450
APOE+ FIB,LS,1,Patient1,710,1753.9430855519515,451
APOE+ FIB,LS,1,Patient1,698,1774.3520391002717,452
APOE+ FIB,LS,1,Patient1,688,1718.0792926398906,453
APOE+ FIB,LS,1,Patient1,494,1414.7364051386558,455
APOE+ FIB,LS,1,Patient1,560,1568.9955101830149,456
APOE+ FIB,LS,1,Patient1,688,1783.7999213013602,457
APOE+ FIB,LS,1,Patient1,681,1658.7592143254183,458
APOE+ FIB,LS,2,Patient1,773,1816.9088159921962,459
APOE+ FIB,LS,1,Patient1,752,1843.3805045603235,462
APOE+ FIB,LS,1,Patient1,506,1443.214242244636,465
APOE+ FIB,LS,1,Patient1,751,1873.7799638704562,468
APOE+ FIB,LS,1,Patient1,604,1606.4707230454057,469
APOE+ FIB,LS,1,Patient1,630,1677.25221869703,470
APOE+ FIB,LS,1,Patient1,718,1726.912810548019,471
APOE+ FIB,LS,1,Patient1,845,1972.4781788544556,473
APOE+ FIB,LS,1,Patient1,620,1666.93835432804,474
APOE+ FIB,LS,1,Patient1,526,1453.6442931262468,475
APOE+ FIB,LS,1,Patient1,704,1780.71748028839,476
APOE+ FIB,LS,1,Patient1,620,1594.392200476549,479
APOE+ FIB,LS,1,Patient1,702,1742.3445689834784,481
APOE+ FIB,LS,1,Patient1,544,1527.613696519194,482
APOE+ FIB,LS,1,Patient1,666,1683.4121185369868,483
APOE+ FIB,LS,1,Patient1,469,1379.8275720249437,484
APOE+ FIB,LS,1,Patient1,753,1830.5242013347663,485
APOE+ FIB,LS,1,Patient1,481,1428.4779724414511,487
APOE+ FIB,LS,1,Patient1,379,1216.248552886865,488
APOE+ FIB,LS,1,Patient1,568,1550.609876192919,490
APOE+ FIB,LS,1,Patient1,683,1720.315389341807,491
APOE+ FIB,LS,1,Patient1,563,1567.464997494861,492
APOE+ FIB,LS,1,Patient1,612,1587.0038766976934,493
APOE+ FIB,LS,1,Patient1,469,1360.5669350051417,494
APOE+ FIB,LS,1,Patient1,559,1506.016715868815,495
APOE+ FIB,LS,1,Patient1,674,1684.5559977111325,497
APOE+ FIB,LS,1,Patient1,614,1624.107580857487,498
APOE+ FIB,LS,1,Patient1,397,1266.9232006492668,500
APOE+ FIB,LS,1,Patient1,539,1482.4648406087,501
